"anime_id","title","type","source","episodes","status","rating","score","scored_by","rank","popularity","members","favorites","premiered","broadcast","producer","producer_count","licensor","licensor_count","studio","studio_count","genre","genre_count","duration_min","aired_from_year"
529,"Saishuu Heiki Kanojo","TV","Manga",13,"Finished Airing","R - 17+ (violence & profanity)",7.27,28001,2538,1202,67677,518,"Summer 2002","Unknown","Toei Video, Toshiba EMI, Tohokushinsha Film Corporation",3,"Viz Media, Sentai Filmworks",2,"Gonzo",1,"Military, Sci-Fi, Drama, Romance, School",5,24,2002
1361,"Final Fantasy: The Spirits Within","Movie","Game",1,"Finished Airing","PG-13 - Teens 13 or older",6.45,41747,5792,1365,58946,55,"","","Sony Music Entertainment",1,"",0,"Square Enix",1,"Sci-Fi",1,100,2001
33929,"Boku no Hero Academia: Sukue! Kyuujo Kunren!","OVA","Manga",1,"Finished Airing","PG-13 - Teens 13 or older",7.58,21853,1397,1468,53483,58,"","","",0,"",0,"Bones",1,"Action, Comedy, School, Shounen, Super Power",5,25,2017
5645,"Castle Fantasia: Seima Taisen","OVA","Visual novel",3,"Finished Airing","Rx - Hentai",5.66,360,NA,7489,1472,1,"","","Milky Animation Label",1,"",0,"Studio Jam",1,"Hentai",1,30,2003
10504,"Gosick Recap","Special","Light novel",1,"Finished Airing","R - 17+ (violence & profanity)",7.12,3664,3124,3594,10538,15,"","","",0,"",0,"Bones",1,"Mystery, Historical, Shounen",3,13,2011
36491,"Doupo Cangqiong","ONA","Novel",12,"Finished Airing","PG-13 - Teens 13 or older",7.41,277,1969,8480,897,9,"","","Tencent Penguin Pictures, China Literature Limited",2,"",0,"Shanghai Foch Film Culture Investment",1,"Action, Adventure, Comedy, Supernatural, Romance",5,20,2017
35333,"Hitori no Shita: The Outcast 2nd Season","ONA","Manga",0,"Currently Airing","R - 17+ (violence & profanity)",7.31,2533,2386,3159,14271,40,"","","Tencent Animation",1,"",0,"Haoliners Animation League",1,"Action, Super Power, Supernatural",3,24,2017
32423,"Pretty x Cation The Animation","OVA","Visual novel",2,"Finished Airing","Rx - Hentai",7.33,1895,NA,4764,5330,34,"","","Pink Pineapple",1,"",0,"T-Rex",1,"Hentai",1,30,2016
4066,"Tytania","TV","Light novel",26,"Finished Airing","PG-13 - Teens 13 or older",6.88,5588,4014,3057,15163,32,"Fall 2008","Unknown","Kodansha, Sogo Vision, Magic Capsule, Happinet Pictures, Sony PCL",5,"Sentai Filmworks",1,"Artland",1,"Adventure, Military, Psychological, Romance, Sci-Fi, Space",6,24,2008
29807,"Honoo no Haramase Paidol My★Star Gakuen Z The Animation","OVA","Visual novel",1,"Finished Airing","Rx - Hentai",7.2,1342,NA,5455,3763,36,"","","Pink Pineapple",1,"",0,"T-Rex",1,"Hentai",1,27,2015
36502,"MahoYome","ONA","Manga",24,"Finished Airing","G - All Ages",6.66,1173,4937,4782,5286,4,"","","",0,"",0,"W-Toon Studio, DMM.futureworks",2,"Parody",1,0.5,2017
35914,"Catchy-kun no Nice Catch!","TV","Other",13,"Finished Airing","None",4.25,8,9802,12335,130,0,"Summer 2017","Fridays at 21:55 (JST)","",0,"",0,"DLE",1,"Comedy",1,0,2017
28121,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka","TV","Light novel",13,"Finished Airing","PG-13 - Teens 13 or older",7.83,344288,826,62,563323,6132,"Spring 2015","Saturdays at 01:05 (JST)","Genco, Movic, Warner Bros., KlockWorx, SoftBank Creative Corp., Showgate, MAGES., Furyu",8,"Sentai Filmworks",1,"J.C.Staff",1,"Action, Adventure, Comedy, Romance, Fantasy",5,24,2015
2273,"Mobile Suit Gundam Wing: Endless Waltz Movie","Movie","Original",1,"Finished Airing","PG-13 - Teens 13 or older",7.92,26283,663,1744,41234,178,"","","Bandai Visual, Sotsu",2,"Bandai Entertainment",1,"Sunrise",1,"Action, Space, Mecha, Military, Drama, Sci-Fi",6,94,1998
6213,"Toaru Kagaku no Railgun","TV","Manga",24,"Finished Airing","PG-13 - Teens 13 or older",7.83,142516,835,220,293328,3580,"Fall 2009","Unknown","Geneon Universal Entertainment, Movic, AT-X, ASCII Media Works, Project Railgun",5,"Funimation",1,"J.C.Staff",1,"Action, Sci-Fi, Super Power",3,24,2009
5020,"Zettai Shougeki: Platonic Heart","OVA","Original",5,"Finished Airing","R+ - Mild Nudity",4.75,5610,9236,3363,12453,23,"","","Lantis, Studio Kikan",2,"Funimation",1,"Arms",1,"Action, Ecchi, Martial Arts",3,30,2008
2824,"Barbapapa Sekai wo Mawaru","TV","Picture book",50,"Finished Airing","G - All Ages",6.01,237,7321,9090,643,1,"Summer 1999","Fridays at 16:50 (JST)","Kodansha",1,"",0,"Studio Pierrot",1,"Adventure, Comedy",2,5,1999
4200,"Dirty Pair OVA","OVA","Light novel",10,"Finished Airing","PG-13 - Teens 13 or older",7.2,1371,2804,5577,3562,8,"","","",0,"ADV Films, Nozomi Entertainment",2,"Sunrise, Kino Production",2,"Adventure, Comedy, Police, Sci-Fi",4,25,1987
9940,"Mai no Mahou to Katei no Hi","Special","Original",1,"Finished Airing","PG - Children",5.98,506,7399,7807,1264,2,"","","Lantis, Magic Capsule",2,"",0,"P.A. Works",1,"Drama, Magic",2,29,2011
19159,"Genshiken Nidaime OVA","OVA","Manga",1,"Finished Airing","R - 17+ (violence & profanity)",7.27,5321,2519,3502,11248,3,"","","",0,"",0,"Production I.G",1,"Comedy, Parody, Slice of Life",3,23,2013
12037,"What&#039;s Michael? 2","OVA","Manga",1,"Finished Airing","G - All Ages",6.23,70,6669,11066,217,0,"","","",0,"",0,"J.C.Staff, Kitty Films",2,"Comedy",1,44,1988
23539,"Gudetama","TV","Original",0,"Currently Airing","G - All Ages",7.34,938,2271,4874,4990,39,"Spring 2014","Not scheduled once per week","Sanrio",1,"",0,"Gathering",1,"Comedy, Kids",2,1,2014
33474,"Haha wo Tazunete Sanzenri (Movie)","Movie","Book",1,"Finished Airing","G - All Ages",6.66,58,4929,11165,208,0,"","","",0,"",0,"Nippon Animation",1,"Adventure, Drama, Historical, Slice of Life",4,107,1980
334,"Marmalade Boy","TV","Manga",76,"Finished Airing","PG-13 - Teens 13 or older",7.62,12292,1304,2102,30243,450,"Spring 1994","Sundays at 08:30 (JST)","Asahi Broadcasting",1,"Discotek Media, TOKYOPOP",2,"Toei Animation",1,"Comedy, Drama, Romance, Shoujo",4,24,1994
18941,"Shimajirou no Wow!","TV","Other",0,"Currently Airing","G - All Ages",5.86,14,12051,11803,160,0,"Spring 2012","Mondays at 07:30 (JST)","",0,"",0,"The Answer Studio",1,"Adventure, Comedy, Fantasy, Kids, Magic",5,25,2012
27567,"Fushigi Yuugi Special: Nakago Shikkari Shinasai!","Special","Manga",2,"Finished Airing","PG - Children",7.24,448,2646,7611,1393,8,"","","",0,"",0,"Studio Pierrot",1,"Comedy",1,2,1996
31980,"Okusama ga Seitokaichou! OVA","OVA","Manga",1,"Finished Airing","R+ - Mild Nudity",6.89,13270,3958,2435,23727,18,"","","",0,"",0,"Seven",1,"Comedy, Romance, Ecchi, Shounen",4,10,2016
116,"El Hazard: The Wanderers","TV","Original",26,"Finished Airing","PG-13 - Teens 13 or older",7.06,4908,3332,3505,11210,29,"Fall 1995","Fridays at 18:30 (JST)","TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",6,"Nozomi Entertainment, Geneon Entertainment USA",2,"AIC",1,"Adventure, Comedy, Romance, Fantasy",4,23,1995
36525,"Dorei-ku The Animation","TV","Manga",0,"Currently Airing","R - 17+ (violence & profanity)",6.34,3075,6214,2255,26995,23,"Spring 2018","Fridays at 01:00 (JST)","",0,"Sentai Filmworks",1,"TNK, Zero-G",2,"Psychological, Drama",2,24,2018
36823,"Huyao Xiao Hongniang: Beishan Yaodi","ONA","Manga",8,"Finished Airing","PG-13 - Teens 13 or older",7.63,1163,1272,6104,2826,4,"","","Tencent Animation",1,"",0,"Haoliners Animation League",1,"Comedy, Historical, Supernatural, Romance",4,14,2016
5914,"Kanamemo","TV","4-koma manga",13,"Finished Airing","PG-13 - Teens 13 or older",6.97,11120,3678,2202,27910,70,"Summer 2009","Unknown","Starchild Records, TV Tokyo Music, Houbunsha",3,"",0,"feel.",1,"Ecchi, Comedy, Slice of Life, Shoujo Ai",4,24,2009
6050,"Mahou Sensei Negima! Mou Hitotsu no Sekai","OVA","Manga",4,"Finished Airing","PG-13 - Teens 13 or older",7.78,6196,928,2901,16911,42,"","","Studio Pastoral",1,"",0,"Shaft",1,"Action, Adventure, Ecchi, Magic, Shounen, Supernatural",6,29,2009
895,"Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu","Movie","Manga",1,"Finished Airing","PG-13 - Teens 13 or older",6.83,41213,4181,1233,65967,30,"","","",0,"Funimation",1,"Toei Animation",1,"Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen",6,60,1990
1591,"Kujibiki♥Unbalance","TV","Other",12,"Finished Airing","PG-13 - Teens 13 or older",6.35,3611,6190,3655,10183,11,"Summer 2006","Unknown","Genco, Lantis, Media Factory",3,"Media Blasters",1,"Ajia-Do",1,"Comedy, Romance, School",3,23,2006
604,"Mahou no Stage Fancy Lala","TV","Original",26,"Finished Airing","G - All Ages",7.17,2550,2932,4188,7357,35,"Spring 1998","Sundays at 09:30 (JST)","Bandai Visual, Geneon Universal Entertainment, TV Osaka, Yomiuri Advertising, TV Tokyo Music",5,"Bandai Entertainment",1,"Studio Pierrot",1,"Music, Comedy, Drama, Magic, Romance, Shoujo",6,24,1998
2927,"Kimikiss Pure Rouge","TV","Visual novel",24,"Finished Airing","PG-13 - Teens 13 or older",7.43,31785,1891,1214,67070,297,"Fall 2007","Unknown","Bandai Visual, Lantis",2,"Sentai Filmworks",1,"J.C.Staff",1,"Drama, Romance, School",3,24,2007
